"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 21 13:08:35 CEST 2022","Thu Apr 21 13:08:38 CEST 2022","2991","","User login and logout","","User login and logout","Submit form with wrong password","Submit form with wrong password",""
"passed","Thu Apr 21 13:08:14 CEST 2022","Thu Apr 21 13:08:24 CEST 2022","10098","","Homepage tab selection, and Visa tab","","Homepage tab selection, and Visa tab","Send request for Visa","Send request for Visa",""
"passed","Thu Apr 21 13:08:54 CEST 2022","Thu Apr 21 13:08:59 CEST 2022","4937","","My bookings page","","My bookings page","Check if total bookings number is equal as number of rows in the bookings table","Check if total bookings number is equal as number of rows in the bookings table",""
"passed","Thu Apr 21 13:08:41 CEST 2022","Thu Apr 21 13:08:45 CEST 2022","4291","","User login and logout","","","","Logout user",""
"passed","Thu Apr 21 13:08:29 CEST 2022","Thu Apr 21 13:08:30 CEST 2022","1558","","User login and logout","","User login and logout","Submit form with empty username","Submit form with empty username",""
"passed","Thu Apr 21 13:08:30 CEST 2022","Thu Apr 21 13:08:31 CEST 2022","1328","","User login and logout","","User login and logout","Submit form with empty password","Submit form with empty password",""
"passed","Thu Apr 21 13:08:14 CEST 2022","Thu Apr 21 13:08:24 CEST 2022","10020","","Homepage tab selection, and Visa tab","","","","Send request for Visa",""
"passed","Thu Apr 21 13:08:27 CEST 2022","Thu Apr 21 13:08:28 CEST 2022","1827","","User login and logout","","","","Submit empty form",""
"passed","Thu Apr 21 13:08:30 CEST 2022","Thu Apr 21 13:08:31 CEST 2022","1320","","User login and logout","","","","Submit form with empty password",""
"passed","Thu Apr 21 13:07:48 CEST 2022","Thu Apr 21 13:07:56 CEST 2022","8499","","Flights page","","Flights page","Confirm that button is enabled for flight Dubai - Belgrade first class round trip","Confirm that button is enabled for flight Dubai - Belgrade first class round trip",""
"passed","Thu Apr 21 13:08:38 CEST 2022","Thu Apr 21 13:08:41 CEST 2022","3224","","User login and logout","","User login and logout","Validate successful Login","Validate successful Login",""
"passed","Thu Apr 21 13:08:31 CEST 2022","Thu Apr 21 13:08:35 CEST 2022","3254","","User login and logout","","User login and logout","Submit form with wrong username","Submit form with wrong username",""
"passed","Thu Apr 21 13:08:41 CEST 2022","Thu Apr 21 13:08:45 CEST 2022","4333","","User login and logout","","User login and logout","Logout user","Logout user",""
"passed","Thu Apr 21 13:08:47 CEST 2022","Thu Apr 21 13:08:54 CEST 2022","6168","","My bookings page","","My bookings page","Check if link View Voucher is opened in new tab","Check if link View Voucher is opened in new tab",""
"passed","Thu Apr 21 13:07:59 CEST 2022","Thu Apr 21 13:08:14 CEST 2022","15554","","Homepage tab selection, and Visa tab","","Homepage tab selection, and Visa tab","Validate that tabs has appropriate class when selected","Validate that tabs has appropriate class when selected",""
"passed","Thu Apr 21 13:08:54 CEST 2022","Thu Apr 21 13:08:58 CEST 2022","4913","","My bookings page","","","","Check if total bookings number is equal as number of rows in the bookings table",""
"passed","Thu Apr 21 13:09:01 CEST 2022","Thu Apr 21 13:09:07 CEST 2022","6529","","Offers page","","Offers page","Check if Rent a Car offer page is opened","Check if Rent a Car offer page is opened",""
"passed","Thu Apr 21 13:09:00 CEST 2022","Thu Apr 21 13:09:07 CEST 2022","6482","","Offers page","","","","Check if Rent a Car offer page is opened",""
"passed","Thu Apr 21 13:08:27 CEST 2022","Thu Apr 21 13:08:28 CEST 2022","1846","","User login and logout","","User login and logout","Submit empty form","Submit empty form",""
"passed","Thu Apr 21 13:08:35 CEST 2022","Thu Apr 21 13:08:38 CEST 2022","2988","","User login and logout","","","","Submit form with wrong password",""
"passed","Thu Apr 21 13:08:38 CEST 2022","Thu Apr 21 13:08:41 CEST 2022","3214","","User login and logout","","","","Validate successful Login",""
"passed","Thu Apr 21 13:08:31 CEST 2022","Thu Apr 21 13:08:35 CEST 2022","3218","","User login and logout","","","","Submit form with wrong username",""
"passed","Thu Apr 21 13:08:28 CEST 2022","Thu Apr 21 13:08:30 CEST 2022","1383","","User login and logout","","","","Submit form with empty username",""
"passed","Thu Apr 21 13:07:48 CEST 2022","Thu Apr 21 13:07:56 CEST 2022","8464","","Flights page","","","","Confirm that button is enabled for flight Dubai - Belgrade first class round trip",""
"passed","Thu Apr 21 13:08:47 CEST 2022","Thu Apr 21 13:08:54 CEST 2022","6140","","My bookings page","","","","Check if link View Voucher is opened in new tab",""
"passed","Thu Apr 21 13:07:59 CEST 2022","Thu Apr 21 13:08:14 CEST 2022","15566","","Homepage tab selection, and Visa tab","","","","Validate that tabs has appropriate class when selected",""
